Entr,Row,Col,05-Aug,04-Sep,Cruza,Historial,Peso,Humedad,Percent1,Percent2,KgHa,t
1,1,1,,,CANINDE 1/Prointa Granar,CP08001-12E-0E-2E-1E-1E,1103,187,112,103,3597,x
2,1,2,,,CANINDE 1/Prointa Granar,CP08001-12E-0E-4E-2E-1E,1079,182,109,101,3519,x
3,1,3,,,CANINDE 1/Prointa Granar,CP08001-12E-0E-4E-2E-3E,912,178,92,85,2974,
4,1,4,,,CANINDE 1/CATBIRD DIF 1073,CP08002-3E-0E-1E-1E-1E,1073,183,109,100,3499,
5,1,5,,,CANINDE 1/CATBIRD DIF 1073,CP08002-3E-0E-6E-2E-2E,1054,180,107,99,3437,
6,1,6,,,CANINDE 1//MILAN/AMSEL,CP08006-4E-0E-6E-1E-3E,1125,183,114,105,3669,x
7,1,7,,,CANINDE 1//MILAN/AMSEL,CP08006-4E-0E-8E-2E-1E,912,250,92,85,2972,
8,1,8,,,CANINDE 1//MILAN/AMSEL,CP08006-4E-0E-8E-2E-2E,906,230,92,85,2953,
9,1,9,,,CANINDE 1//MILAN/AMSEL,CP08006-5E-0E-3E-2E-1E,947,196,96,89,3088,
10,1,10,,,ITAPUA 75,,989,211,100,,3224,
11,1,11,,,CANINDE 1//MILAN/AMSEL,CP08006-5E-0E-3E-2E-2E,840,192,85,83,2739,
12,1,12,,,CANINDE 1/PARAGUA CIAT,CP08008-4E-0E-1E-1E-2E,847,198,86,84,2762,
13,1,13,,,CANINDE 1/PARAGUA CIAT,CP08008-4E-0E-1E-1E-4E,993,199,100,98,3238,
14,1,14,,s,CORD 3//RL 6040=Thatcher *7/Translocation 4=Lr19,CP08053-5E-0E-6E-2E-1E,870,168,88,86,2838,
15,1,15,,,CORD 3//RL 6040=Thatcher *7/Translocation 4=Lr19,CP08053-5E-0E-6E-2E-2E,865,177,87,86,2821,
16,1,16,,,CORD 3//RL 6040=Thatcher *7/Translocation 4=Lr19,CP08053-5E-0E-6E-2E-3E,848,204,82,84,2765,
17,1,17,,,CANINDE 3/Prointa Granar,CP08058-11E-0E-3E-1E-2E,1069,159,104,106,3487,
18,1,18,,s,CANINDE/4/WBLL4//BABAX.1B.1B*2/PRL/3/PASTOR,CP08115-1E-0E-1E-1E-1E,1133,165,110,112,3696,x
19,1,19,,1,CANINDE/4/WBLL4//BABAX.1B.1B*2/PRL/3/PASTOR,CP08115-1E-0E-1E-1E-3E,1137,180,110,112,3708,x
20,1,20,,,ITAPUA 85,,1033,179,100,,3369,
21,1,21,,1,CANINDE//MILAN/AMSEL,CP08121-9E-0E-4E-1E-4E,1135,168,110,99,3702,x
22,1,22,,s,CANINDE//MILAN/AMSEL,CP08121-9E-0E-4E-1E-5E,1031,174,100,90,3362,
23,1,23,,,WBLL2//MILAN/AMSEL,CP08130-7E-0E-2E-2E-4E,1004,168,97,88,3275,
24,1,24,,,WBLL2//MILAN/AMSEL,CP08130-7E-0E-5E-1E-2E,942,162,91,83,3073,
25,1,25,,,WBLL2//MILAN/AMSEL,CP08130-7E-0E-5E-1E-3E,1016,192,98,89,3313,
26,1,26,,,WBLL2//MILAN/AMSEL,CP08130-7E-0E-5E-1E-4E,1017,184,81,89,3316,
27,1,27,fhb,,BIOINTA1001/BR 18,CP08201-6E-0E-2E-1E-1E,1121,171,90,98,3656,
28,1,28,fhb,s,CD 104/4/BABAX/LR42//BABAX/3/BABAX/LR42,CP08226-1E-0E-4E-1E-1E,1195,168,96,105,3898,x
29,1,29,,s,CD 104/4/BABAX/LR42//BABAX/3/BABAX/LR42,CP08226-1E-0E-4E-1E-2E,1226,154,98,107,3999,x
30,1,30,,,CANINDE 21,,1249,172,100,,4074,
31,1,31,,,CD 104/4/BABAX/LR42//BABAX/3/BABAX/LR42,CP08226-1E-0E-4E-1E-4E,1155,156,92,104,3768,x
32,1,32,,,CD 104/4/BABAX/LR42//BABAX/3/BABAX/LR42,CP08226-1E-0E-4E-1E-5E,1179,158,94,106,3846,x
33,1,33,,,ONIX//MILAN/AMSEL,CP08261-21E-0E-3E-1E-3E,1113,161,89,100,3630,x
34,1,34,,,F3 DESC CRIA 2010,X 2010-12-0E-1E-1E-4E,1266,158,101,114,4130,x
35,1,35,,,F3 DESC CRIA 2010,X 2010-12-0E-1E-1E-5E,1161,160,93,104,3787,x
36,1,36,,s,F3 DESC CRIA 2010,X 2010-16-0E-4E-1E-4E,1048,164,107,94,3418,
37,1,37,,,F3 DESC CRIA 2011,X 2010-16-0E-4E-1E-4E,936,168,96,84,3053,
38,1,38,,,PF 953048/IAPAR 18/4/BABAX/LR42//BABAX/3/BABAX/LR42//BABAX,CP08184-2E-2E-10E-2E,1154,159,118,104,3764,x
39,1,39,,,PF 953048/IAPAR 18/4/BABAX/LR42//BABAX/3/BABAX/LR42//BABAX,CP08184-2E-2E-10E-3E,1148,161,117,103,3745,x
40,1,40,,,CD 150,,977,153,100,,3187,
41,1,41,,s,PANDORA-INIA/ITAPUA 75//ITAPUA 70,CP08496-1E-1E-2E-2E,1112,154,114,109,3628,x
42,1,42,,,PANDORA-INIA/ITAPUA 75//ITAPUA 70,CP08496-1E-1E-2E-3E,965,170,99,94,3147,
43,1,43,limpiar,s,PANDORA-INIA/ITAPUA 75//ITAPUA 70,CP08496-1E-2E-2E-1E,1055,166,108,103,3441,
44,1,44,,,WBLL2/4/BABAX/LR42//BABAX/3/BABAX/LR42,CP08124-7E-0E-2E-3E-1E,1062,146,109,104,3465,
45,1,45,,s,WBLL2/4/BABAX/LR42//BABAX/3/BABAX/LR42,CP08124-7E-0E-5E-5E-5E,1212,174,124,118,3953,x
46,1,46,,,WBLL2/4/BABAX/LR42//BABAX/3/BABAX/LR42,CP08124-7E-0E-7E-7E-3E,1008,162,94,99,3288,
47,1,47,,,WBLL2//MILAN/AMSEL,CP08130-7E-0E-2E-10E-1E,957,164,90,94,3122,
48,1,48,,,WBLL2//MILAN/AMSEL,CP08130-7E-0E-3E-4E-3E,677,153,63,66,2208,
49,1,49,,,WBLL2//MILAN/AMSEL,CP08130-7E-0E-3E-4E-4E,922,154,86,90,3008,
50,2,49,,,DON ALBERTO,,1069,157,100,,3487,
51,2,48,,1,WBLL2//MILAN/AMSEL,CP08130-7E-0E-3E-4E-8E,996,174,93,88,3248,x
52,2,47,cln,1,WBLL2//MILAN/AMSEL,CP08130-7E-0E-4E-1E-2E,1046,176,98,93,3411,
53,2,46,,1,WBLL2//MILAN/AMSEL,CP08130-7E-0E-4E-4E-1E,1043,168,98,93,3402,x
54,2,45,,1,WBLL2//MILAN/AMSEL,CP08130-7E-0E-4E-4E-3E,1112,174,104,99,3627,x
55,2,44,,1,WBLL2//MILAN/AMSEL,CP08130-7E-0E-5E-9E-2E,991,166,93,88,3232,x
56,2,43,,1,WBLL2//MILAN/AMSEL,CP08130-7E-0E-5E-9E-5E,1138,147,96,101,3713,x
57,2,42,,1,WBLL2//MILAN/AMSEL,CP08130-7E-0E-5E-9E-7E,1052,149,89,93,3432,x
58,2,41,,,WBLL2//MILAN/AMSEL,CP08130-7E-0E-5E-9E-11E,1121,149,95,100,3657,x
59,2,40,,,ONIX//MILAN/AMSEL,CP08261-18E-0E-1E-3E-2E,1006,151,85,89,3282,
60,2,39,,,ITAPUA 75,,1183,151,100,,3859,
61,2,38,,,ONIX//MILAN/AMSEL,CP08261-18E-0E-4E-6E-2E,1062,158,90,88,3464,
62,2,37,,,ONIX//MILAN/AMSEL,CP08261-18E-0E-4E-6E-3E,969,142,82,80,3161,
63,2,36,,,ONIX//MILAN/AMSEL,CP08261-18E-0E-4E-6E-4E,1011,170,85,84,3297,
64,2,35,,,ONIX//MILAN/AMSEL,CP08261-18E-0E-7E-3E-1E,1014,160,86,84,3308,
65,2,34,,,ONIX//MILAN/AMSEL,CP08261-18E-0E-7E-3E-3E,1040,161,88,86,3392,
66,2,33,,,ONIX//MILAN/AMSEL,CP08261-18E-0E-7E-3E-4E,1022,147,83,85,3334,
67,2,32,,,E-04256/CD108//MILAN/MUNIA,CP08422-1E-0E-1E-2E-5E,977,158,79,81,3187,
68,2,31,,,E-04256/CD108//MILAN/MUNIA,CP08422-1E-0E-1E-4E-1E,1041,160,84,86,3396,
69,2,30,,,E-04256/CD108//MILAN/MUNIA,CP08422-1E-0E-1E-10E-1E,985,170,80,82,3213,
70,2,29,,,ITAPUA 85,,1232,148,100,,4019,
71,2,28,,,E-04256/CD108//MILAN/MUNIA,CP08422-1E-0E-2E-1E-2E,1078,159,87,96,3516,x
72,2,27,,,E-04256/CD108//MILAN/MUNIA,CP08422-1E-0E-2E-1E-4E,1097,158,89,97,3578,x
73,2,26,,,E-04256/CD108//MILAN/MUNIA,CP08422-1E-0E-2E-1E-5E,1125,158,91,100,3670,x
74,2,25,,,E-04256/CD108//MILAN/MUNIA,CP08422-1E-0E-2E-3E-2E,1068,165,87,95,3484,
75,2,24,,,E-04256/CD108//MILAN/MUNIA,CP08422-1E-0E-3E-1E-2E,1089,166,88,96,3552,
76,2,23,,,E-04256/CD108//MILAN/MUNIA,CP08422-1E-0E-3E-9E-2E,1032,181,101,91,3365,
77,2,22,,,E-04256/CD108//MILAN/MUNIA,CP08422-1E-0E-3E-10E-1E,1055,156,103,93,3441,
78,2,21,,1,E-04256/CD108//MILAN/MUNIA,CP08422-1E-0E-5E-1E-2E,1233,161,120,109,4022,x
79,2,20,,1,E-04256/CD108//MILAN/MUNIA,CP08422-1E-0E-5E-7E-2E,1190,177,116,105,3881,x
80,2,19,,,CANINDE 21,,1025,172,100,,3343,
81,2,18,,1,E-04256/CD108//MILAN/MUNIA,CP08422-1E-0E-5E-7E-3E,1063,184,104,104,3466,
82,2,17,,,PARULA/CD 104,CP7021-1E-1E-0E-1E-8E-3E,959,165,94,94,3128,
83,2,16,,1,PARULA/CD 104,CP7021-1E-1E-0E-1E-8E-4E,1066,158,104,104,3477,
84,2,15,,1,PARULA/CD 104,CP7021-1E-1E-0E-1E-8E-5E,1042,176,102,102,3398,
85,2,14,,1,PARULA/CD 104,CP7021-1E-1E-0E-1E-12E-3E,1153,161,113,113,3761,x
86,2,13,,s,PARULA/CD 104,CP7021-1E-1E-0E-1E-12E-4E,1085,151,107,106,3540,x
87,2,12,,,PARULA/CD 104,CP7021-1E-1E-0E-2E-9E-6E,1112,177,109,109,3627,x
88,2,11,,,PARULA/CD 104,CP7021-1E-1E-0E-2E-11E-1E,878,154,86,86,2864,
89,2,10,,,PARULA/CD 104,CP7021-1E-1E-0E-3E-7E-1E,1113,178,109,109,3630,x
90,2,9,,,CD 150,,1018,187,100,,3320,
91,2,8,,1,PARULA/CD 104,CP7021-1E-1E-0E-3E-9E-4E,1180,172,116,109,3849,x
92,2,7,,1,PARULA/CD 104,CP7021-1E-1E-0E-3E-9E-8E,1208,194,119,111,3939,x
93,2,6,,1,PARULA/CD 104,CP7021-1E-1E-0E-4E-2E-6E,1122,212,110,103,3658,x
94,2,5,,,PARULA/CD 104,CP7021-1E-1E-0E-6E-1E-3E,1050,179,103,97,3424,
95,2,4,,1,PARULA/CD 104,CP7021-1E-1E-0E-6E-1E-4E,1081,217,106,100,3524,x
96,2,3,,,Itapua 40/IAN 10,CP6333-1E-0E-6E-0E-1E-5E-4E,1112,182,97,103,3626,x
97,2,2,,,Itapua 40/IAN 10,CP6333-1E-0E-6E-0E-1E-5E-5E,974,158,85,90,3177,
98,2,1,,,Itapua 40/IAN 10,CP6333-5E-0E-2E-0E-1E-2E-1E,896,164,78,83,2923,
99,3,1,,,Itapua 40/IAN 10,CP6333-5E-0E-2E-0E-2E-2E-2E,1121,192,97,103,3655,x
100,3,2,,,DON ALBERTO,,1150,195,100,,3750,
101,3,3,,1,Itapua 40/IAN 10,CP6333-5E-0E-2E-0E-2E-2E-3E,1364,204,119,113,4447,x
102,3,4,,1,Itapua 40/IAN 10,CP6333-5E-0E-2E-0E-2E-3E-5E,1357,173,118,112,4426,x
103,3,5,,1,Itapua 40/IAN 10,CP6333-5E-0E-2E-0E-2E-3E-6E,1500,193,130,124,4891,x
104,3,6,,1,Itapua 40/IAN 10,CP6333-5E-0E-2E-0E-2E-3E-7E,1443,203,125,119,4705,x
105,3,7,,,Itapua 40/IAN 10,CP6333-5E-0E-2E-0E-2E-3E-8E,1311,212,114,108,4274,x
106,3,8,,1,Itapua 40/IAN 10,CP6333-5E-0E-2E-0E-2E-4E-1E,1349,197,106,111,4398,x
107,3,9,,1,Itapua 40/IAN 10,CP6333-5E-0E-2E-0E-2E-4E-3E,1364,192,107,113,4448,x
108,3,10,,1,Itapua 40/IAN 10,CP6333-5E-0E-2E-0E-2E-4E-4E,1272,187,100,105,4148,x
109,3,11,,,Itapua 40/IAN 10,CP6333-5E-0E-2E-0E-2E-8E-1E,1291,188,102,107,4210,x
110,3,12,,,ITAPUA 75,,1270,193,100,,4141,
111,3,13,,s,Itapua 40/IAN 10,CP6333-5E-0E-2E-0E-2E-8E-2E,1305,192,103,106,4255,x
112,3,14,,s,Itapua 40/IAN 10,CP6333-5E-0E-2E-0E-2E-12E-1E,1252,177,99,102,4083,x
113,3,15,,s,Itapua 40/IAN 10,CP6333-5E-0E-2E-0E-2E-12E-3E,1317,180,104,107,4295,x
114,3,16,,,Itapua 40/IAN 10,CP6333-5E-0E-2E-0E-2E-12E-4E,978,162,77,80,3190,
115,3,17,,s,Itapua 40/IAN 10,CP6333-5E-0E-2E-0E-2E-12E-5E,1208,193,95,98,3939,x
116,3,18,,,Itapua 40/IAN 10,CP6333-5E-0E-2E-0E-3E-9E-3E,999,171,84,81,3258,
117,3,19,,,Itapua 40/IAN 10,CP6333-5E-0E-3E-0E-5E-4E-4E,1182,170,100,96,3855,x
118,3,20,,1,Itapua 40/3/ITP35/PF84432//CORD4,CP6334-2E-0E-5E-0E-2E-1E-1E,1282,176,108,104,4181,x
119,3,21,,1,Itapua 40/3/ITP35/PF84432//CORD4,CP6334-2E-0E-5E-0E-6E-1E-2E,1205,166,102,98,3930,x
120,3,22,,,ITAPUA 85,,1187,171,100,,3871,
121,3,23,,s,Itapua 40/3/ITP35/PF84432//CORD4,CP6334-2E-0E-6E-0E-2E-11E-8E,1219,148,103,103,3977,x
122,3,24,,s,Itapua 40/3/ITP35/PF84432//CORD4,CP6334-2E-0E-6E-0E-2E-13E-1E,1102,168,93,93,3594,x
123,3,25,,1,Itapua 40/3/ITP35/PF84432//CORD4,CP6334-2E-0E-6E-0E-2E-13E-3E,1259,154,106,106,4107,x
124,3,26,,,Itapua 40/3/ITP35/PF84432//CORD4,CP6334-2E-0E-6E-0E-3E-8E-3E,1047,149,88,88,3416,
125,3,27,,1,Itapua 40/3/ITP35/PF84432//CORD4,CP6334-2E-0E-6E-0E-3E-11E-1E,1244,188,105,105,4057,x
126,3,28,,,Itapua 40/3/ITP35/PF84432//CORD4,CP6334-2E-0E-6E-0E-6E-2E-2E,1132,176,96,96,3692,x
127,3,29,,,ITAPUA 40/PEWIT1,CP08001-1E-100E-10E-4E,1216,149,103,103,3967,x
128,3,30,,,ITAPUA 40/5/BABAX/LR42//BABAX*2/4/SIN/TRAP1/3KAUZ*2/TRAP/KAUZ,CP08014-1E-100E-4E-2E,1209,176,102,102,3943,x
129,3,31,,,ITAPUA 40/5/BABAX/LR42//BABAX*2/4/SIN/TRAP1/3KAUZ*2/TRAP/KAUZ,CP08014-1E-100E-4E-4E,1230,157,104,104,4012,x
130,3,32,,s,CANINDE 21,,1181,166,100,,3852,
131,3,33,,,ITAPUA 40/5/BABAX/LR42//BABAX*2/4/SIN/TRAP1/3KAUZ*2/TRAP/KAUZ,CP08014-1E-100E-5E-2E,1246,152,106,111,4065,x
132,3,34,,,ITAPUA 75/5/BABAX/LR42//BABAX*2/4/SIN/TRAP1/3KAUZ*2/TRAP/KAUZ,CP08093-1E-100E-2E-4E,1232,161,104,110,4019,x
133,3,35,,,ITAPUA 75/5/BABAX/LR42//BABAX*2/4/SIN/TRAP1/3KAUZ*2/TRAP/KAUZ,CP08093-1E-100E-2E-7E,1130,146,96,101,3687,x
134,3,36,,,ITAPUA 70//ND643/2*WBILL1,CP08108-1E-100E-2E-1E,1123,153,95,100,3663,x
135,3,37,,,ITAPUA 70//ND643/2*WBILL1,CP08108-1E-100E-2E-2E,1251,151,106,112,4081,x
136,3,38,,,CD 108/4/BABAX/LR42//BABAX*2/3/TUKURU,CP08156-1E-100E-6E-4E,1231,161,116,110,4015,x
137,3,39,,,CD 112/4/BABAX/LR42//BABAX*2/3/TUKURU,CP08168-1E-100E-2E-2E,1179,139,112,105,3847,x
138,3,40,,,CD 112/4/BABAX/LR42//BABAX*2/3/TUKURU,CP08168-1E-100E-2E-3E,1131,138,107,101,3690,x
139,3,41,,,CD 112/4/BABAX/LR42//BABAX*2/3/TUKURU,CP08168-1E-100E-2E-8E,1224,139,116,109,3994,x
140,3,42,,,CD 150,,1057,179,100,,3447,
141,3,43,,,CD 112/4/BABAX/LR42//BABAX*2/3/TUKURU,CP08168-1E-100E-2E-11E,1091,165,103,101,3559,x
142,3,44,,,ND643/2*WBILL1//CD 114,CP08281-1E-100E-7E-5E,1115,180,105,104,3636,x
143,3,45,,2,BRBT1*2/KIRITATI//PF 953048/IAPAR 18,CP08444-1E-100E-5E-3E,1045,160,99,97,3409,
144,3,46,,s,BRBT1*2/KIRITATI//PF 953048/IAPAR 18,CP08444-1E-100E-6E-2E,957,166,91,89,3121,
145,3,47,,s,BRBT1*2/KIRITATI//PF 953048/IAPAR 18,CP08444-1E-100E-6E-3E,907,168,86,84,2958,
146,3,48,,s,BRBT1*2/KIRITATI/3/SRMA/TUI//BABAX,CP08445-1E-100E-2E-1E,889,171,81,83,2899,
147,3,49,,s,BRBT1*2/KIRITATI/3/SRMA/TUI//BABAX,CP08445-1E-100E-4E-3E,925,167,84,86,3017,
148,4,49,,s,BRBT1*2/KIRITATI/3/SRMA/TUI//BABAX,CP08445-1E-100E-4E-4E,968,157,88,90,3158,
149,4,48,,,BRBT1*2/KIRITATI//BRS 208,CP08447-1E-100E-5E-2E,936,172,85,87,3053,
150,4,47,,,DON ALBERTO,,1095,144,100,,3572,
151,4,46,,,BRBT1*2/KIRITATI//BRS 208,CP08447-1E-100E-8E-1E,912,160,83,79,2975,
152,4,45,,,CANINDE//NG8675/CBRD/3/CANINDE 1,CP08462-4E-100E-4E-4E,1052,161,96,92,3431,
153,4,44,,,CANINDE//NG8675/CBRD/3/CANINDE 1,CP08462-4E-100E-4E-5E,1142,167,104,99,3725,
154,4,43,,,TNMU/6/CEP80111/CEP81165/5/MRNG/4/YKT406/3/AG/ASN//ATR/7/BABAX/LR42//BABAX/3/BABAX/LR42/8/CD114,CP08480-2E-100E-7E-3E,1135,160,104,99,3702,
155,4,42,,s,TNMU/6/CEP80111/CEP81165/5/MRNG/4/YKT406/3/AG/ASN//ATR/7/BABAX/LR42//BABAX/3/BABAX/LR42/8/CD114,CP08480-2E-100E-7E-6E,1031,172,94,90,3363,
156,4,41,,s,TNMU/6/CEP80111/CEP81165/5/MRNG/4/YKT406/3/AG/ASN//ATR/7/BABAX/LR42//BABAX/3/BABAX/LR42/8/CD114,CP08480-2E-100E-7E-7E,1069,162,89,93,3487,
157,4,40,,,TNMU/6/CEP80111/CEP81165/5/MRNG/4/YKT406/3/AG/ASN//ATR/7/BABAX/LR42//BABAX/3/BABAX/LR42/8/CD114,CP08480-2E-100E-7E-8E,1092,162,91,95,3562,x
158,4,39,,,Itapúa 45/Itapúa 40//CD 150,CP09216-5E-2E-1E,978,171,81,85,3190,
159,4,38,,,Itapúa 45/Itapúa 40//CD 150,CP09216-5E-2E-4E,987,166,82,86,3219,
160,4,37,,,ITAPUA 75,,1203,178,100,,3923,
161,4,36,,,Itapúa 45/Itapúa 40//CD 150,CP09216-5E-8E-6E,1099,156,91,93,3585,
162,4,35,,2,CENTINELA/CD 104,CP09252-12E-2E-4E,1223,163,102,104,3989,x
163,4,34,,s,CRONOX/Itapúa 70,CP09255-5E-2E-1E,1228,182,102,104,4005,x
164,4,33,,s,CRONOX/Itapúa 70,CP09255-5E-2E-3E,1122,207,93,95,3658,x
165,4,32,,s,CRONOX/Itapúa 70,CP09255-8E-3E-1E,1168,167,97,99,3810,x
166,4,31,,,INIA DON ALBERTO/Itapúa 70,CP09287-4E-8E-3E,1221,163,106,103,3983,x
167,4,30,,,INIA DON ALBERTO/Itapúa 70,CP09287-7E-2E-8E,1090,174,94,92,3555,
168,4,29,,,INIA DON ALBERTO/Itapúa 70,CP09287-7E-3E-2E,1138,151,98,96,3712,x
169,4,28,,s,INIA DON ALBERTO/Itapúa 70,CP09287-7E-7E-9E,1134,165,98,96,3699,x
170,4,27,,,ITAPUA 85,,1157,154,100,,3774,
171,4,26,,,INIA DON ALBERTO/Itapúa 70,CP09287-7E-7E-11E,1064,149,92,94,3471,
172,4,25,,,INIA DON ALBERTO/Itapúa 70,CP09287-7E-7E-15E,1051,156,91,93,3428,
173,4,24,,,INIA DON ALBERTO/Itapúa 70,CP09287-9E-3E-4E,1089,159,94,96,3552,
174,4,23,,s,INIA DON ALBERTO/Itapúa 70,CP09287-9E-3E-7E,1063,149,92,94,3468,
175,4,22,,,INIA DON ALBERTO/Itapúa 70,CP09287-9E-3E-8E,950,158,82,84,3099,
176,4,21,,,INIA DON ALBERTO/Itapúa 70,CP09287-9E-3E-9E,941,162,85,83,3069,
177,4,20,,,NOGAL/BRS 229,CP09381-2E-4E-2E,1013,189,91,89,3303,
178,4,19,,s,NOGAL/BRS 229,CP09381-2E-4E-4E,1064,171,96,94,3470,
179,4,18,1,s,NOGAL/BRS 229,CP09381-4E-1E-2E,1115,168,100,98,3637,
180,4,17,,,CANINDE 21,,1111,158,100,,3624,
181,4,16,,1,NOGAL/BRS 229,CP09381-4E-3E-1E,1169,169,105,96,3813,x
182,4,15,,1,NOGAL/BRS 229,CP09381-4E-7E-2E,1332,185,120,109,4344,x
